NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Anitápolis;4201109;ESCOLA MUNICIPAL PROFESSORA MANILA CAMPOS DA ROSA;42144507;1;0;1;0;0;0;0;0;1;0;0;1;240;14;-27.90393833;-49.13055333
Palhoça;4211900;ESCOLA MODELO;42144515;1;0;1;0;0;0;1;0;0;0;0;0;222;19;;
Chapecó;4204202;SENAI SC - CHAPECO;42144523;1;0;1;0;0;0;1;1;0;0;0;0;542;40;-27.09945333;-52.64499667
Florianópolis;4205407;COLEGIO CRUZ E SOUSA;42144531;1;0;1;0;0;0;1;0;0;0;0;1;492;26;-27.50016667;-48.515085
São Joaquim;4216503;EEI FILOMENA MARTORANO VIEIRA RODRIGUES;42144540;1;0;1;0;0;0;1;0;0;0;0;0;97;24;-28.2893974;-49.9206422
São Joaquim;4216503;EEI MARIA DAS GRACAS DE OLIVEIRA NUNES;42144558;2;0;1;0;0;0;0;1;0;0;0;0;19;4;-28.1616139;-49.7567075
São Joaquim;4216503;EEI MARCIO FABRE MELO;42144566;2;0;1;0;0;0;0;1;0;0;0;1;19;4;-28.1116703;-49.9903118
Caçador;4203006;SESI SC - CACADOR;42144574;1;0;1;0;0;0;1;0;0;0;0;0;142;5;-26.78850872;-50.99546528
Capivari de Baixo;4203956;CEI ODACIR EMITERIO DE OLIVEIRA;42144582;1;0;1;0;0;0;0;1;0;0;0;0;51;6;-28.4581571;-48.98344634
Capivari de Baixo;4203956;CEI PEDRA SANTOS DE SOUZA;42144590;1;0;1;0;0;0;0;1;0;0;0;0;57;10;-28.43081243;-48.95372335
Porto União;4213609;NUCLEO DE EDUCACAO INFANTIL ARCO IRIS;42144604;1;0;1;0;0;0;1;0;0;0;0;1;119;17;-26.26848332;-51.07317707
